library_id,ad_url,started_running,sponsor,ad_body,media_url
867079782790325,https://www.facebook.com/ads/library/?id=867079782790325,"Jan 31, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/623370410_820804410966379_3984701122574997762_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=IzEEGdcBI5cQ7kNvwHCr6cf&_nc_oc=Adn7xbeILYywiCGTybHG5QMaPCvx1uiP2qAuEvrffFoEyisE_bFPauS6xYuuG9krqTM&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=OcVktjUNltB3CI0aF5SnRQ&oh=00_AfufuvxFtQlmZqvwkQofsVBOcRSLetwLRPMlLO86wCaV2g&oe=698852AD
869339759279718,https://www.facebook.com/ads/library/?id=869339759279718,"Jan 29, 2026",​,Low impression count Platforms Impressions: <100 EU transparency Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/624552794_1480406956852729_8071794091348020451_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KtY_0v0Ouj0Q7kNvwGE39qB&_nc_oc=AdkCRHiFAsbo6v4xkvhdsSYuDTL1Plhpu6KkavE_0vsZLaCZy-qRPqif9YYZFh_zh_0&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=OcVktjUNltB3CI0aF5SnRQ&oh=00_AftrTrUVEB1TcyaOsIIO4YnuGNLDGDSWJ-PiDm1Vr5s8Tg&oe=69882652
889391954085792,https://www.facebook.com/ads/library/?id=889391954085792,"Jan 29, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/623393975_2048359149345529_7662275912421121620_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=lsmga0nAg5cQ7kNvwEg4qmK&_nc_oc=AdnBU1TaR2CGDJLdA-qi4xXXC8urfBW3MsDF_hOqOyCsmhZNwOumxngC1GsC1skWOtQ&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=OcVktjUNltB3CI0aF5SnRQ&oh=00_Afs9sb0rL3q2kGvwzFE3aNJi_nILr5C5lO9LI5SJYsuXUA&oe=69883715
1406464971210623,https://www.facebook.com/ads/library/?id=1406464971210623,"Jan 29, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/623400730_1532220094555386_3966701896786364552_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=d1HUxFWkXjwQ7kNvwFFbevl&_nc_oc=AdlV8KKAuLDg5grvOe4pV6fNZLYrpUle3-2HBUDRL9zoU_cxORC5IONlbBNzU970JOQ&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=OcVktjUNltB3CI0aF5SnRQ&oh=00_AfsVfceAhe_2rDLZOHH_QY84LUHtCt6bfLwDVUsAfbB51Q&oe=69883EDA
1541790893745401,https://www.facebook.com/ads/library/?id=1541790893745401,"Jan 29, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/623253484_2083533412444408_5643729008155664993_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=RqG2XMOEegsQ7kNvwG3gBn9&_nc_oc=AdnWoSyCX8B6JgLy_jQNmRvz_X3P225ODseOdDcUKHLqhLiiqNlcms3QmTu8c0nWI3M&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=OcVktjUNltB3CI0aF5SnRQ&oh=00_AftKkmOr7nxzQvnN2dIdck3gWdQwFWLB1im-Gasi0Cjs0A&oe=69883F86
1567183127857538,https://www.facebook.com/ads/library/?id=1567183127857538,"Jan 30, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/621793258_1204337105142398_4450169146212288675_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=MSj1yFpxBpcQ7kNvwEYtKNj&_nc_oc=AdmPcVbn4lbAwfKXAxGzvIYThjYZYKKy3Zk2nzhDRvnfpc-bxg88bAMAdUp3yKjcv6k&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=OcVktjUNltB3CI0aF5SnRQ&oh=00_AfsGkeVAeNpT1iz-CDTtcHxBiFdghQ5lwT2YUJJMGEnViQ&oe=69883DF0
1633830561322154,https://www.facebook.com/ads/library/?id=1633830561322154,"Jan 29, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/618882055_3789181281216294_4748627732752893812_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=VVKJwBQv0wwQ7kNvwHxJnkB&_nc_oc=AdlTRo3oshhgeh0Y_fTOeJJkOj6L-quqwjtrYr6R3Wq0Wph-kw84azBYb-J-37zCPOE&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=OcVktjUNltB3CI0aF5SnRQ&oh=00_Afts5GJQ8Q_BcWHldp5CsJAthvHpDcWag554VIaw7Mc2nQ&oe=6988273B
1890564818212320,https://www.facebook.com/ads/library/?id=1890564818212320,"Jan 31, 2026",​,Low impression count Platforms Impressions: <100 EU transparency Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/623163333_1366550908850229_2549117086239426481_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=oOKPgCSLC7gQ7kNvwGC3ixP&_nc_oc=AdlebdkiY55AHHhrIQVdKeN5k01fGZVOh-UQO5VFftkLXPu79Eef6GdZSxmCxGmIeaM&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=OcVktjUNltB3CI0aF5SnRQ&oh=00_AfvLj3hPlpHoFmp76xRL4S8DkU_XBCwOuYYQmhAkJoJUxQ&oe=69881F6E
2104887716980215,https://www.facebook.com/ads/library/?id=2104887716980215,"Jan 29, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/624292643_784856447235483_8004695283886561578_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=vcWnDLl2teAQ7kNvwGIs_ki&_nc_oc=AdlYcgYlbB6IK0bp5EQi2gGkVFFm8WbdyU6_HB4NDk1DH6AfN3hawYHZf1FCbGR-JUE&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_AftHl80TH9ns2fVShVSTApCFSogtnI5ixJ2yLeIkN4zNAg&oe=69882852
3032155770505344,https://www.facebook.com/ads/library/?id=3032155770505344,"Jan 29, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/619550486_1802966400402282_8066155359577903060_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=5IllIp2rMn0Q7kNvwHsc0pv&_nc_oc=Adk21jCNKU1_ovtalnoCdzA9TLbFvwcS6Y_hCcH1Zm6w6lJOwDiLyOoThOwfvh-oPE0&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_Afs4plfygZ5lI61aNgeek2HDor9ubcHpySMwyQZuq4ZsZg&oe=69884216
